Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2017-08-10 17:59:54,Running,,3.00,18:51,6:18,9.54,162.0,21,,,2017-08-10-1759.gpx
2017-08-08 18:44:31,Running,,6.94,45:23,6:32,9.17,376.0,62,,,2017-08-08-1844.gpx
2017-07-28 12:40:04,Running,,7.86,53:12,6:46,8.86,417.0,65,,,2017-07-28-1240.gpx
2017-07-24 20:24:47,Running,,6.09,45:33,7:29,8.02,318.0,69,,,2017-07-24-2024.gpx
2017-07-21 21:43:10,Running,,5.23,32:13,6:10,9.73,289.0,71,,,2017-07-21-2143.gpx
2017-07-20 19:40:28,Running,,2.07,12:15,5:55,10.14,112.0,14,,,2017-07-20-1940.gpx
2017-07-19 20:16:12,Running,,4.93,30:29,6:11,9.70,267.0,41,,,2017-07-19-2016.gpx
2017-07-17 19:36:04,Cycling,,7.80,48:57,6:17,9.55,197.0,85,,,2017-07-17-1936.gpx
2017-07-17 19:18:28,Running,,2.18,16:40,7:39,7.85,133.0,110,,"",2017-07-17-1918.gpx
2017-07-12 19:01:00,Running,,3.02,18:25,6:06,9.84,160.0,4,,,2017-07-12-1901.gpx
2017-07-06 20:36:57,Running,,2.11,14:03,6:40,9.00,116.0,15,,"",2017-07-06-2036.gpx
2017-07-03 20:54:18,Running,,3.02,20:07,6:39,9.02,165.0,21,,,2017-07-03-2054.gpx
2017-06-29 19:57:35,Running,,5.83,35:19,6:03,9.90,322.0,45,,,2017-06-29-1957.gpx
2017-06-28 19:39:43,Running,,5.70,36:44,6:27,9.31,316.0,51,,,2017-06-28-1939.gpx
2017-06-26 20:48:04,Running,,4.96,33:25,6:45,8.90,276.0,51,,,2017-06-26-2048.gpx
2017-06-20 21:30:15,Running,,3.05,18:30,6:03,9.91,174.0,52,,,2017-06-20-2130.gpx
2017-06-19 21:59:46,Running,,5.20,31:22,6:02,9.94,286.0,70,,,2017-06-19-2159.gpx
2017-06-16 19:43:58,Running,,5.26,34:49,6:37,9.06,288.0,32,150,,2017-06-16-1943.gpx
2017-06-15 18:08:54,Running,,4.17,24:36,5:54,10.17,200.0,21,,,2017-06-15-1808.gpx
2017-06-14 18:05:11,Running,,3.88,22:43,5:51,10.26,207.0,30,,,2017-06-14-1805.gpx
2017-06-08 17:06:01,Running,,2.39,12:47,5:21,11.20,131.0,19,,,2017-06-08-1706.gpx
2017-06-07 20:14:46,Running,,1.71,8:52,5:12,11.54,85.0,11,,,2017-06-07-2014.gpx
2017-06-06 20:23:58,Running,,4.86,30:12,6:13,9.65,264.0,36,,,2017-06-06-2023.gpx
2017-06-05 19:25:27,Running,,8.57,1:00:44,7:05,8.47,468.0,95,,,2017-06-05-1925.gpx
2017-06-02 19:28:16,Running,,2.30,9:23,4:05,14.72,122.0,2,,,2017-06-02-1928.gpx
2017-06-01 20:04:33,Running,,3.63,24:44,6:49,8.80,200.0,36,,,2017-06-01-2004.gpx
2017-05-31 16:52:20,Running,,8.83,1:02:00,7:01,8.54,483.0,74,147,,2017-05-31-1652.gpx
2017-05-30 13:08:28,Running,,4.94,32:18,6:32,9.18,271.0,38,,,2017-05-30-1308.gpx
2017-05-29 18:51:10,Running,,6.23,40:33,6:30,9.22,349.0,68,,,2017-05-29-1851.gpx
2017-05-28 19:32:50,Walking,,0.80,15:17,19:00,3.16,33.0,9,,,2017-05-28-1932.gpx
2017-05-27 14:00:00,Cycling,,26.80,1:52:00,4:11,14.36,408.0,0,,,
2017-05-25 15:16:00,Cycling,,36.30,2:13:00,3:40,16.38,739.0,0,,,
2017-05-23 15:57:50,Running,,4.37,30:04,6:53,8.72,243.0,33,,,2017-05-23-1557.gpx
2017-05-22 19:39:21,Running,,3.03,18:07,5:58,10.05,168.0,24,,,2017-05-22-1939.gpx
2017-05-21 17:16:00,Cycling,,38.10,1:54:57,3:01,19.89,600.0,0,,,
2017-05-19 17:45:19,Running,,4.45,24:56,5:36,10.70,213.0,46,,,2017-05-19-1745.gpx
